"","FID","Property","Area","Status","Name","Old_name","RT_status","r_raster3","ARRIVE_MCP","POINT_X","POINT_Y","IPA","art_nat","Perimeter","Type","Purpose","X1990","X1991","X1992","X1993","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","Distance","Conversion","Maintenance"
"1077",91,"Anna Plains",0,"Tank","Combo Poly"," "," ",1077,0,-1117498.93,-2157021.851,0,1,0,1,"Artificial",21,26,23,31,26,37,37,41,43,50,66,36,18,23,32,15,55,32,22,27,226.1861273,12039.27919095,1880.064774769
"1077.1",92,"Anna Plains",0,"Tank","Kalgoorlie Fibreglass"," "," ",1077,0,-1119126.964,-2158722.126,0,1,0,1,"Artificial",21,26,23,31,26,37,37,41,43,50,66,36,18,23,32,15,55,32,22,27,228.386848,12042.580272,1883.43187744
"1078.1",93,"Anna Plains",0,"Tank","Friday Bore"," "," ",1078,0,-1111537.178,-2158260.081,0,1,0,1,"Artificial",22,27,23,32,24,35,37,42,43,51,66,36,19,23,33,16,54,32,23,28,225.0904714,12037.6357071,1878.388421242
"1082",94,"Anna Plains",0,"Tank","Lyngett Bore"," "," ",1082,0,-1099055.027,-2156757.645,0,1,0,1,"Artificial",22,26,20,34,24,35,37,39,42,49,63,36,24,25,34,18,55,35,24,31,219.4290341,12029.14355115,1869.726422173
"1033.1",95,"Anna Plains",0,"Tank","Boulder Bore"," "," ",1033,0,-1129303.751,-2167279.858,0,1,0,1,"Artificial",19,26,19,32,21,38,35,41,44,53,64,36,15,23,33,18,54,29,24,26,240.3231487,12060.48472305,1901.694417511
"990",96,"Anna Plains",0,"Tank","Coolgardie Well"," "," ",990,0,-1123075.437,-2167694.537,0,1,0,1,"Artificial",19,25,19,32,21,38,35,42,43,51,65,36,16,24,33,18,53,28,22,25,238.1889654,12057.2834481,1898.429117062
"534",97,"Pardoo",0," ","Pardoo Caravan Park and Homestead","Dwelling"," ",534,0,-1290514.777,-2218877.201,0,1,0,1,"Dwelling",20,20,20,35,24,31,23,41,25,47,58,32,18,23,24,19,46,25,30,34,103.6970945,0,0
"979",98,"Wallal Downs",0," ","Wallal Downs Homestead","Dwelling"," ",979,0,-1183924.708,-2172148.186,0,1,0,1,"Dwelling",11,23,17,33,21,32,28,40,31,43,52,33,11,22,28,13,46,22,23,27,219.9428524,0,0
"1032.1",99,"Mandora",0," ","Sandfire Roadhouse","Dwelling"," ",1032,0,-1136841.338,-2167091.657,0,1,0,1,"Dwelling",19,27,20,32,20,37,35,42,44,51,61,36,14,22,32,18,52,29,24,24,243.376883,0,0
"1522",100,"Frazier Downs",0," ","Kalyadajan Community","Dwelling"," ",1522,0,-1090163.204,-2081981.023,0,1,0,1,"Dwelling",22,37,23,36,31,44,38,49,46,54,71,42,27,31,46,25,68,41,35,41,146.4733757,0,0
"1600",101,"Frazier Downs",0," ","Purrpurrngangjal Community","Dwelling"," ",1600,0,-1088438.381,-2062452.934,0,1,0,1,"Dwelling",22,41,22,40,32,42,39,48,47,59,71,45,29,34,47,28,64,40,36,45,128.142897,0,0
